Country Code,Economy,Income Group,Year,Latitude (generated),Longitude (generated)
XKX,Kosovo,NA,Fiscal Year 1989,42.546,20.921
VGB,British Virgin Islands,NA,Fiscal Year 1989,18.4204,-64.64
UZB,Uzbekistan,NA,Fiscal Year 1989,41.757,63.958
UKR,Ukraine,NA,Fiscal Year 1989,49.364,32.132
TUV,Tuvalu,NA,Fiscal Year 1989,-7.4786,178.6758
TLS,Timor-Leste,NA,Fiscal Year 1989,-8.856,125.556
TKM,Turkmenistan,NA,Fiscal Year 1989,39.584,59.597
TJK,Tajikistan,NA,Fiscal Year 1989,38.367,72.597
TCA,Turks and Caicos Islands,NA,Fiscal Year 1989,21.7779,-71.7592
SXM,Sint Maarten (Dutch part),NA,Fiscal Year 1989,18.034,-63.0544
SVN,Slovenia,NA,Fiscal Year 1989,46.037,14.534
SVK,Slovak Republic,NA,Fiscal Year 1989,48.8595,19.4434
SSD,South Sudan,NA,Fiscal Year 1989,7.1,30.48
SRB,Serbia,NA,Fiscal Year 1989,44.021,20.699
SMR,San Marino,NA,Fiscal Year 1989,43.942,12.4611
RUS,Russian Federation,NA,Fiscal Year 1989,64.736,104.062
PYF,French Polynesia,NA,Fiscal Year 1989,-17.529,-149.53
PSE,West Bank and Gaza,NA,Fiscal Year 1989,32.097,35.26
PRK,"Korea, Dem. Rep.",NA,Fiscal Year 1989,39.767,126.389
PLW,Palau,NA,Fiscal Year 1989,7.5288,134.5573
NRU,Nauru,NA,Fiscal Year 1989,-0.5287,166.9315
NAM,Namibia,NA,Fiscal Year 1989,-21.276,17.219
MNP,Northern Mariana Islands,NA,Fiscal Year 1989,15.1905,145.7471
MNG,Mongolia,NA,Fiscal Year 1989,46.516,102.564
MNE,Montenegro,NA,Fiscal Year 1989,42.857,19.096
MKD,North Macedonia,NA,Fiscal Year 1989,41.636,21.676
MHL,Marshall Islands,NA,Fiscal Year 1989,5.961,169.651
MDA,Moldova,NA,Fiscal Year 1989,47.524,28.444
MCO,Monaco,NA,Fiscal Year 1989,43.7384,7.4243
MAF,St. Martin (French part),NA,Fiscal Year 1989,18.0848,-63.0507
LVA,Latvia,NA,Fiscal Year 1989,57.017,25.0173
LTU,Lithuania,NA,Fiscal Year 1989,55.342,24.23
LIE,Liechtenstein,NA,Fiscal Year 1989,47.1593,9.547
KGZ,Kyrgyz Republic,NA,Fiscal Year 1989,41.741,75.043
KAZ,Kazakhstan,NA,Fiscal Year 1989,48.866,69.772
HRV,Croatia,NA,Fiscal Year 1989,45.754,16.385
GEO,Georgia,NA,Fiscal Year 1989,42.05,43.576
FSM,"Micronesia, Fed. Sts.",NA,Fiscal Year 1989,7.531,150.457
EST,Estonia,NA,Fiscal Year 1989,58.777,25.977
ERI,Eritrea,NA,Fiscal Year 1989,15.982,38.02
DJI,Djibouti,NA,Fiscal Year 1989,11.41,42.165
CZE,Czech Republic,NA,Fiscal Year 1989,49.848,15.2812
CYM,Cayman Islands,NA,Fiscal Year 1989,19.3299,-81.1715
CUW,Curaçao,NA,Fiscal Year 1989,12.2129,-69.0407
CUB,Cuba,NA,Fiscal Year 1989,20.571,-76.456
CPV,Cabo Verde,NA,Fiscal Year 1989,15.416,-23.36
BLR,Belarus,NA,Fiscal Year 1989,53.3292,27.9492
BIH,Bosnia and Herzegovina,NA,Fiscal Year 1989,44.342,17.804
BGR,Bulgaria,NA,Fiscal Year 1989,42.625,24.521
AZE,Azerbaijan,NA,Fiscal Year 1989,40.46,47.883
ARM,Armenia,NA,Fiscal Year 1989,40.56,44.449
AND,Andorra,NA,Fiscal Year 1989,42.5425,1.5893
ALB,Albania,NA,Fiscal Year 1989,40.654,20.076
AGO,Angola,NA,Fiscal Year 1989,-12.836,17.808
VEN,"Venezuela, RB",Upper middle income (UM),Fiscal Year 1989,6.983,-64.588
URY,Uruguay,Upper middle income (UM),Fiscal Year 1989,-32.948,-56.249
TTO,Trinidad and Tobago,Upper middle income (UM),Fiscal Year 1989,10.4435,-61.2604
SYC,Seychelles,Upper middle income (UM),Fiscal Year 1989,-4.6841,55.4924
SUR,Suriname,Upper middle income (UM),Fiscal Year 1989,4.248,-55.848
ROU,Romania,Upper middle income (UM),Fiscal Year 1989,45.933,25.119
PRT,Portugal,Upper middle income (UM),Fiscal Year 1989,40.957,-7.9373
PRI,Puerto Rico,Upper middle income (UM),Fiscal Year 1989,18.242,-66.643
PAN,Panama,Upper middle income (UM),Fiscal Year 1989,8.348,-81.005
OMN,Oman,Upper middle income (UM),Fiscal Year 1989,19.85,56.25
NCL,New Caledonia,Upper middle income (UM),Fiscal Year 1989,-21.02,165.062
MLT,Malta,Upper middle income (UM),Fiscal Year 1989,35.9024,14.4137
MAC,"Macao SAR, China",Upper middle income (UM),Fiscal Year 1989,22.1404,113.5643
LBY,Libya,Upper middle income (UM),Fiscal Year 1989,27.24,17.571
KOR,"Korea, Rep.",Upper middle income (UM),Fiscal Year 1989,36.338,128.16
KNA,St. Kitts and Nevis,Upper middle income (UM),Fiscal Year 1989,17.147,-62.58
IRQ,Iraq,Upper middle income (UM),Fiscal Year 1989,33.545,43.278
IRN,"Iran, Islamic Rep.",Upper middle income (UM),Fiscal Year 1989,33.408,54.0418
HUN,Hungary,Upper middle income (UM),Fiscal Year 1989,47.174,19.618
GRC,Greece,Upper middle income (UM),Fiscal Year 1989,39.787,21.617
GIB,Gibraltar,Upper middle income (UM),Fiscal Year 1989,36.134,-5.3482
GAB,Gabon,Upper middle income (UM),Fiscal Year 1989,-0.406,11.914
DZA,Algeria,Upper middle income (UM),Fiscal Year 1989,28.6045,2.64
CYP,Cyprus,Upper middle income (UM),Fiscal Year 1989,34.894,32.928
BRB,Barbados,Upper middle income (UM),Fiscal Year 1989,13.1898,-59.559
BRA,Brazil,Upper middle income (UM),Fiscal Year 1989,-11.694,-48.978
ATG,Antigua and Barbuda,Upper middle income (UM),Fiscal Year 1989,17.625,-61.786
ARG,Argentina,Upper middle income (UM),Fiscal Year 1989,-33.166,-64.31
ZWE,Zimbabwe,Lower middle income (LM),Fiscal Year 1989,-19.098,30.047
ZAF,South Africa,Lower middle income (LM),Fiscal Year 1989,-31.7,23.441
WSM,Samoa,Lower middle income (LM),Fiscal Year 1989,-13.6221,-172.439
VUT,Vanuatu,Lower middle income (LM),Fiscal Year 1989,-15.339,166.89
VCT,St. Vincent and the Grenadines,Lower middle income (LM),Fiscal Year 1989,13.2528,-61.1949
TUR,Turkey,Lower middle income (LM),Fiscal Year 1989,39.144,34.188
TUN,Tunisia,Lower middle income (LM),Fiscal Year 1989,35.594,9.421
TON,Tonga,Lower middle income (LM),Fiscal Year 1989,-21.167,-175.19
THA,Thailand,Lower middle income (LM),Fiscal Year 1989,15.688,100.845
SYR,Syrian Arab Republic,Lower middle income (LM),Fiscal Year 1989,35.303,38.322
SWZ,Eswatini,Lower middle income (LM),Fiscal Year 1989,-26.5203,31.4607
SLV,El Salvador,Lower middle income (LM),Fiscal Year 1989,13.848,-89.229
SEN,Senegal,Lower middle income (LM),Fiscal Year 1989,15.044,-15.081
PRY,Paraguay,Lower middle income (LM),Fiscal Year 1989,-23.266,-58.409
POL,Poland,Lower middle income (LM),Fiscal Year 1989,52.442,19.72
PNG,Papua New Guinea,Lower middle income (LM),Fiscal Year 1989,-5.636,142.798
PHL,Philippines,Lower middle income (LM),Fiscal Year 1989,17.181,121.256
PER,Peru,Lower middle income (LM),Fiscal Year 1989,-12.664,-72.98
NIC,Nicaragua,Lower middle income (LM),Fiscal Year 1989,12.692,-85.03
MYS,Malaysia,Lower middle income (LM),Fiscal Year 1989,4.416,102.099
MUS,Mauritius,Lower middle income (LM),Fiscal Year 1989,-20.2529,57.5902
MEX,Mexico,Lower middle income (LM),Fiscal Year 1989,22.925,-101.68
MAR,Morocco,Lower middle income (LM),Fiscal Year 1989,31.129,-7.355
LCA,St. Lucia,Lower middle income (LM),Fiscal Year 1989,13.909,-60.9776
LBN,Lebanon,Lower middle income (LM),Fiscal Year 1989,34.161,36.021
KIR,Kiribati,Lower middle income (LM),Fiscal Year 1989,2.048,-158.59
JOR,Jordan,Lower middle income (LM),Fiscal Year 1989,30.681,36.279
JAM,Jamaica,Lower middle income (LM),Fiscal Year 1989,18.163,-77.477
HND,Honduras,Lower middle income (LM),Fiscal Year 1989,14.881,-87.123
GTM,Guatemala,Lower middle income (LM),Fiscal Year 1989,15.124,-90.711
GRD,Grenada,Lower middle income (LM),Fiscal Year 1989,12.111,-61.6867
FJI,Fiji,Lower middle income (LM),Fiscal Year 1989,-17.7941,177.9783
EGY,"Egypt, Arab Rep.",Lower middle income (LM),Fiscal Year 1989,26.16,28.742
ECU,Ecuador,Lower middle income (LM),Fiscal Year 1989,-1.151,-78.308
DOM,Dominican Republic,Lower middle income (LM),Fiscal Year 1989,19.01,-70.1685
DMA,Dominica,Lower middle income (LM),Fiscal Year 1989,15.4238,-61.3411
CRI,Costa Rica,Lower middle income (LM),Fiscal Year 1989,10.126,-84.075
COL,Colombia,Lower middle income (LM),Fiscal Year 1989,3.794,-73.606
COG,"Congo, Rep.",Lower middle income (LM),Fiscal Year 1989,0.509,16.08
CMR,Cameroon,Lower middle income (LM),Fiscal Year 1989,4.4,12.131
CIV,Côte d'Ivoire,Lower middle income (LM),Fiscal Year 1989,7.497,-5.336
CHL,Chile,Lower middle income (LM),Fiscal Year 1989,-23.176,-69.201
BWA,Botswana,Lower middle income (LM),Fiscal Year 1989,-22.126,23.662
BOL,Bolivia,Lower middle income (LM),Fiscal Year 1989,-16.71,-65.183
BLZ,Belize,Lower middle income (LM),Fiscal Year 1989,17.108,-88.744
VIR,Virgin Islands (U.S.),High income (H),Fiscal Year 1989,17.7289,-64.7592
USA,United States,High income (H),Fiscal Year 1989,40.0792,-98.8164
TWN,"Taiwan, China",High income (H),Fiscal Year 1989,23.6091,120.8353
SWE,Sweden,High income (H),Fiscal Year 1989,66.2188,19
SGP,Singapore,High income (H),Fiscal Year 1989,1.3389,103.8297
SAU,Saudi Arabia,High income (H),Fiscal Year 1989,24.191,44.32
QAT,Qatar,High income (H),Fiscal Year 1989,25.3174,51.1522
NZL,New Zealand,High income (H),Fiscal Year 1989,-42.558,172.377
NOR,Norway,High income (H),Fiscal Year 1989,61.3701,9.3031
NLD,Netherlands,High income (H),Fiscal Year 1989,52.1704,5.0102
